period,open_funds_count,open_funds_assets,closed_funds_count,closed_funds_assets,total_funds_count,total_assets,local_shares,foreign_shares,local_bonds,foreign_bonds,local_funds,foreign_funds,local_other,foreign_other,local_real_estate,total_assets_by_type,active_funds_count,subscribers_count,local_assets_total,foreign_assets_total,grand_total_assets,local_pct,foreign_pct
2019-01-01,225.0,94441.8,27.0,25317.8,252.0,119759.59,22982.1,4549.4,4191.3,1013.0,33263.5,31088.6,1684.9,81.6,20905.2,119759.6,252,356410,83026.94,36732.66,119759.6,69.33,30.67
2019-04-01,224.0,100745.6,27.0,25361.2,251.0,126106.8,21612.1,4644.41,5418.7,1075.8,55031.4,15298.4,2539.4,102.5,20384.6,126107.31,251,335367,104986.0,21121.0,126107.0,83.25,16.75
2019-07-01,226.0,110928.7,26.0,26311.96,252.0,137240.7,18271.47,3718.46,6046.97,1053.7,62053.29,19047.26,3567.03,141.92,23340.61,137240.71,252,333318,113279.37,23961.35,137240.72,82.54,17.46
2019-10-01,228.0,133223.24,25.0,26734.61,253.0,159958.02,23000.35,4149.53,6915.17,1010.77,76728.74,21276.46,3043.41,79.6,23754.0,159958.03,253,329739,133441.67,26516.37,159958.04,83.42,16.58
2020-01-01,228.0,147676.47,25.0,27066.33,253.0,174742.8,15263.42,3266.34,9856.03,1507.76,70592.33,40247.45,9514.89,92.58,24402.02,174742.82,253,339678,129628.68,45114.13,174742.81,74.18,25.82
2020-04-01,228.0,154775.73,25.0,26808.28,253.0,181584.01,16356.23,3642.44,10927.92,2407.88,82948.2,33449.92,7300.19,232.55,24318.7,181584.03,253,350442,141851.24,39732.78,181584.02,78.12,21.88
2020-07-01,230.0,167973.0,25.0,28098.0,255.0,196071.0,19012.0,4125.0,9665.0,3529.0,83384.0,38983.0,12073.0,644.0,24656.0,196071.0,255,358576,148789.96,47280.73,196070.69,75.89,24.11
2020-10-01,228.0,180803.0,26.0,28921.0,254.0,209724.0,19351.57,4964.7,9595.23,3881.08,81505.8,50874.45,13888.77,442.23,25220.49,209724.32,254,358894,149561.86,60162.46,209724.32,71.31,28.69
2021-01-01,225.0,203056.05,26.0,29774.89,251.0,232830.94,21624.85,5274.45,11706.74,5938.81,80397.28,66399.24,14714.33,910.25,25864.99,232830.94,251,382245,154308.19,78522.75,232830.94,66.27,33.73
2021-04-01,226.0,212605.9,26.0,29033.88,252.0,241639.78,23220.08,5919.07,12350.81,5081.88,80818.93,74556.44,14240.93,856.2,24595.42,241639.76,252,401540,155226.19,86413.59,241639.78,64.24,35.76
